6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
Tannous & Associates PC,United States,,$1 - $1M,0 - 9,Business Services,Target
Stichting Kulturhus De Spil Nieuwleusen,Netherlands,despilnieuwleusen.nl,$1 - $1M,20 - 49,"Government,Consumer Goods and Services,Associations & Non Profits",Target
ACE,Israel,ace.co.il,$25M - $50M,500 - 999,"Consumer Goods and Services,Internet",Awareness
Systemedge,Japan,systemedge.co.jp,$1M - $5M,20 - 49,Consumer Goods and Services,Target
Hess Corporation,United States,hess.com,$5B+,"5,000 - 9,999",Energy & Utilities,Consideration
Jakobstads Åldringsvänner Rf Pietarsaaren Vanhustenystävät Ry,Finland,hotorgcentret.fi,$1M - $5M,50 - 99,Associations & Non Profits,Target
Insight Group,Russia,insightgroup.ru,,,,Target
Wajax,Canada,wajax.com,$1B - $2.5B,"1,000 - 4,999",Wholesale & Distribution,Consideration
CtrlS Datacenters,India,ctrls.com,$250M - $500M,"1,000 - 4,999","Business Services,Information Technology",Consideration
Industrial & Commercial Bank of China (ICBC),United States,icbc-ltd.com,$5B+,"10,000+",Financial Services,Target
MT Cyber,Mexico,mt-cyber.com,$1 - $1M,0 - 9,"Software,Information Technology",Decision
Tasika,United Kingdom,tasika.co.uk,$1 - $1M,0 - 9,Business Services,Target
Clear Channel Outdoor,United States,clearchanneloutdoor.com,$1B - $2.5B,"1,000 - 4,999",Business Services,Decision
Leverages,Japan,leverages.jp,$50M - $100M,"1,000 - 4,999",Business Services,Awareness
"INAIL, Istituto Nazionale Assicurazione Contro Gli Infortuni Sul Lavoro",Italy,inail.it,$50M - $100M,"5,000 - 9,999",Government,Consideration
Web-Pro,Taiwan,web-pro.com.tw,$10M - $25M,250 - 499,Industrial Manufacturing,Target
Sitecore,United Kingdom,sitecore.com,$500M - $1B,"5,000 - 9,999",Software,Consideration
SORTIS,Spain,sortis.es,$5M - $10M,100 - 249,"Business Services,Telecommunications",Awareness
Aiden,Netherlands,aiden.eu,$10M - $25M,250 - 499,"Software,Information Technology",Awareness
Protechsoft Technologies,United States,protechsoft.com,$10M - $25M,100 - 249,Software,Awareness
Saab,South Africa,saab.com,$5B+,"10,000+","Aerospace & Defense,Transportation & Logistics",Awareness
Zonelabs Consumer,Taiwan,927019.com,,,,Target
"Fres-co System USA, Inc.",United States,fresco.com,$50M - $100M,250 - 499,Industrial Manufacturing,Consideration
Saque e Pague,Brazil,saqueepague.com.br,$50M - $100M,250 - 499,Financial Services,Consideration
California Teachers Association,United States,cta.org,$250M - $500M,250 - 499,"Associations & Non Profits,Business Services",Awareness
MCPI,India,mcpi.co.in,$25M - $50M,500 - 999,Industrial Manufacturing,Awareness
Angelo State University,United States,angelo.edu,$50M - $100M,500 - 999,Education,Decision
6conecta,Spain,6conecta.com,$1M - $5M,20 - 49,Software,Target
Code Sportif Code Sportif,Turkey,codesportif.com.tr,,,,Target
Agda,Portugal,agda.pt,$10M - $25M,100 - 249,Energy & Utilities,Target
Mercure Hotel Krone Lenzburg,Switzerland,krone-lenzburg.ch,$1 - $1M,20 - 49,"Hospitality, Travel, and Recreation",Target
Schbang,India,schbang.com,$500M - $1B,"1,000 - 4,999",Business Services,Consideration
Angel Bakeries,Israel,angel.co.il,$100M - $250M,"1,000 - 4,999",Consumer Goods and Services,Target
APV - Technische Produkte GmbH,Austria,apv.at,$10M - $25M,100 - 249,Agriculture,Consideration
ECG Engineering and Consulting Group (Pty) Ltd,South Africa,ecgholdings.co.za,$1M - $5M,20 - 49,Construction & Engineering,Target
RV University,India,rvu.edu.in,$25M - $50M,"5,000 - 9,999",Education,Consideration
GMINA RADOWO MALE,Poland,radowomale.pl,$5M - $10M,20 - 49,Government,Target
Nippon Steel Corporation,Mexico,nipponsteel.com,$5B+,"10,000+",Industrial Manufacturing,Consideration
Ferrero Asia Limited,Poland,ferrero.com,$5B+,"1,000 - 4,999",Consumer Goods and Services,Awareness
KLEEMANN,Greece,kleemannlifts.com,$250M - $500M,"1,000 - 4,999",Industrial Manufacturing,Consideration
Procter & Gamble,Singapore,pg.com,$5B+,"10,000+","Consumer Goods and Services,Industrial Manufacturing,Wholesale & Distribution",Awareness
Foundever,United States,foundever.com,$500M - $1B,"10,000+",Information Technology,Purchase
Cleary Gottlieb Steen & Hamilton LLP,United States,clearygottlieb.com,$5B+,"1,000 - 4,999",Business Services,Purchase
Entrust,United States,entrust.com,$500M - $1B,"1,000 - 4,999","Software,Information Technology",Consideration
Halla Pet Food,Sweden,hallapetfood.se,$5M - $10M,0 - 9,Consumer Goods and Services,Target
VelocityEHS,United States,ehs.com,$100M - $250M,500 - 999,"Software,Business Services,Information Technology,Construction & Engineering",Consideration
J. Safra Sarasin,United Kingdom,jsafrasarasin.com,$1B - $2.5B,"1,000 - 4,999",Financial Services,Awareness
Green Link Digital Bank,Singapore,glbank.com,$5M - $10M,50 - 99,Financial Services,Consideration
"NiSource, Inc.",United States,nisource.com,$5B+,"5,000 - 9,999",Energy & Utilities,Consideration
Sodril,Portugal,sodril.pt,$10M - $25M,50 - 99,Consumer Goods and Services,Consideration
Inovalon,United States,inovalon.com,$500M - $1B,"1,000 - 4,999","Software,Healthcare & Medical",Decision
ORCHARD PREP LIMITED,United Kingdom,orchardschool.org.uk,$1M - $5M,0 - 9,Education,Target
Linical,United States,linical.com,$100M - $250M,500 - 999,"Business Services,Biotech & Pharmaceuticals",Consideration
"Silver Lining Information Technology Co., Ltd.",People's Republic of China,sh-silverlining.com,$1M - $5M,20 - 49,"Internet,Software",Awareness
Biberk,Australia,biberk.com,$10M - $25M,500 - 999,Financial Services,Target
ISTC,United States,istc.int,$5M - $10M,20 - 49,"Education,Real Estate, Rentals, and Leasing",Target
Super - Pharm,Israel,super-pharm.co.il,$500M - $1B,"5,000 - 9,999",Consumer Goods and Services,Decision
Pleasantville Community School District,United States,pvillecsd.org,$5M - $10M,20 - 49,Education,Awareness
DUE EFFE SPA,Italy,dueffespa.it,$1M - $5M,20 - 49,Consumer Goods and Services,Target
Synerlogic,Netherlands,synerlogic.nl,$5M - $10M,100 - 249,Industrial Manufacturing,Target
Vertikal,Russia,vertical.ru,$50M - $100M,0 - 9,Wholesale & Distribution,Target
Sarva Haryana Gramin Bank,India,shgb.co.in,$100M - $250M,"1,000 - 4,999",Financial Services,Target
TD SYNNEX,India,tdsynnex.com,$500M - $1B,"10,000+","Business Services,Consumer Goods and Services,Consumer Goods and Services,Hardware & Semiconductors,Information Technology,Internet,Software,Wholesale & Distribution",Purchase
Next Generation Recyclingmaschinen GmbH,Austria,ngr-world.com,$50M - $100M,100 - 249,"Energy & Utilities,Energy & Utilities,Industrial Manufacturing",Awareness
Volvo Cars,People's Republic of China,volvocars.com,$5B+,"10,000+",Automotive,Consideration
Anadolubank,Turkey,anadolubank.com.tr,$500M - $1B,"1,000 - 4,999",Financial Services,Decision
Fremont Bank,United States,fremontbank.com,$100M - $250M,500 - 999,Financial Services,Decision
Pacxa,United States,pacxa.com,$10M - $25M,50 - 99,"Software,Information Technology",Awareness
FL Department Of Revenue,United States,floridarevenue.com,$250M - $500M,"5,000 - 9,999",Government,Decision
CRO TRAVEL PTY LTD,Australia,freight-logistics.com.au,$1M - $5M,20 - 49,Transportation & Logistics,Target
ROANNAISE DE BUREAUTIQUE ET D'INFORMATIQUE,France,rbi42.fr,$1M - $5M,20 - 49,"Software,Hardware & Semiconductors",Consideration
INSURICA,United States,insurica.com,$250M - $500M,250 - 499,Financial Services,Consideration
Hessenwasser GmbH & Co. KG,Germany,hessenwasser.de,$100M - $250M,250 - 499,Energy & Utilities,Target
MASER ITALIA Srl,Italy,maseritalia.it,$10M - $25M,100 - 249,"Industrial Manufacturing,Automotive",Awareness
European Space Agency - ESA,France,esa.int,$500M - $1B,"10,000+","Aerospace & Defense,Business Services,Transportation & Logistics",Awareness
Halikon Kumipalvelu Oy,Finland,halikonkumipalvelu.fi,$1M - $5M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
RTI,Russia,aorti.ru,$250M - $500M,"10,000+","Business Services,Information Technology",Target
"Daihin Co., Ltd",Taiwan,twincn.com,$10M - $25M,250 - 499,"Consumer Goods and Services,Industrial Manufacturing,Business Services",Target
Basilea Pharmaceutica AG,Switzerland,basilea.com,$100M - $250M,100 - 249,Biotech & Pharmaceuticals,Consideration
Synovus,United States,synovus.com,$1B - $2.5B,"5,000 - 9,999",Financial Services,Purchase
Bahco,Spain,bahco.com,$100M - $250M,"1,000 - 4,999","Industrial Manufacturing,Construction & Engineering",Consideration
OldTown White Coffee,Malaysia,oldtown.com.my,$50M - $100M,"1,000 - 4,999",Consumer Goods and Services,Awareness
Burke Rehabilitation,United States,burke.org,$50M - $100M,500 - 999,Healthcare & Medical,Consideration
BasileaPHT,People's Republic of China,phtpharmatech.com,,,,Target
Addison HVAC,United States,addison-hvac.com,$25M - $50M,100 - 249,"Industrial Manufacturing,Business Services,Construction & Engineering",Consideration
Ridge,United States,ridge.com,$10M - $25M,100 - 249,"Consumer Goods and Services,Consumer Goods and Services",Consideration
Exp Realty,United States,exprealty.com,$1B - $2.5B,"10,000+","Real Estate, Rentals, and Leasing",Purchase
Adapture,United States,adapture.com,$25M - $50M,100 - 249,Business Services,Consideration
S&C Electric Company,United States,sandc.com,$5B+,"1,000 - 4,999",Industrial Manufacturing,Decision
Valdosta State University,United States,valdosta.edu,$2.5B - $5B,"1,000 - 4,999",Education,Consideration
"M.A.C. Construction, Inc.",United States,macconstruction-inc.net,$5M - $10M,20 - 49,Construction & Engineering,Awareness
Kohl's,United States,kohls.com,$5B+,"10,000+",Consumer Goods and Services,Decision
SICES,Italy,sices.eu,$5M - $10M,100 - 249,"Industrial Manufacturing,Industrial Manufacturing",Target
"Brookside Properties, Inc.",United States,brooksideproperties.com,$500M - $1B,250 - 499,"Real Estate, Rentals, and Leasing",Consideration
INSTITUTO CUMBRES DE TORREON,Mexico,cumbrestorreon.com,$1M - $5M,10 - 19,Education,Target
Richard Zrenner Gmbh,Germany,zrenner.com,$1M - $5M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
Sysfore Technologies,India,sysfore.com,$5M - $10M,100 - 249,Software,Consideration
PGA TOUR Superstore,United States,pgatoursuperstore.com,$250M - $500M,"1,000 - 4,999",Consumer Goods and Services,Consideration
Gigaisland,United States,gigaisland.com,$1 - $1M,0 - 9,Hardware & Semiconductors,Awareness
DigitalOwl,Israel,digitalowl.com,$10M - $25M,100 - 249,Software,Awareness
National Stock Exchange Of India Limited,India,nseindia.com,$500M - $1B,"1,000 - 4,999",Financial Services,Purchase
Twenty Two By 7 Solutions Pvt. Ltd.,India,22by7.in,$10M - $25M,100 - 249,Software,Decision
Hobart Corporation,United States,hobartcorp.com,$250M - $500M,"1,000 - 4,999","Industrial Manufacturing,Consumer Goods and Services",Consideration
IBM,Germany,ibm.com,$5B+,"10,000+","Software,Information Technology",Decision
Little Haiti Cultural Complex,United States,miami.gov,$50M - $100M,"1,000 - 4,999",Government,Consideration
Harris County,United States,harriscountytx.gov,$500M - $1B,"10,000+",Government,Decision
Bakx Roosendaal Transport,Netherlands,bakxroosendaal.nl,$1 - $1M,20 - 49,Transportation & Logistics,Target
Infovirgin Technology Solutions Pvt. Ltd.,India,ivpl.in,$1M - $5M,20 - 49,"Business Services,Information Technology",Consideration
ASSOCIACAO DE PROTECCAO A INFANCIA DA AJUDA,Portugal,apiaajuda.com,$1 - $1M,20 - 49,Associations & Non Profits,Target
Grup Baucells Alimentacio,Spain,grupbaucells.com,$25M - $50M,500 - 999,Consumer Goods and Services,Target
Universidad Tecmilenio,Mexico,tecmilenio.mx,$500M - $1B,"10,000+",Education,Consideration
Landesamt Fur Umwelt Rheinland - Pfalz,Germany,lfu.rlp.de,$25M - $50M,20 - 49,"Energy & Utilities,Government",Target
ICBA,United States,icba.org,$25M - $50M,250 - 499,"Financial Services,Business Services,Associations & Non Profits",Consideration
Davis Technical College,United States,davistech.edu,$25M - $50M,100 - 249,Education,Awareness
Parksons Graphics,India,parksonsgraphics.com,$10M - $25M,100 - 249,Media & Entertainment,Target
Developmental Pathways,United States,dpcolo.org,$25M - $50M,500 - 999,Associations & Non Profits,Consideration
Wipro,Switzerland,wipro.com,$5B+,"10,000+","Business Services,Information Technology",Awareness
Carolina West Wireless,United States,carolinawest.com,$25M - $50M,100 - 249,Telecommunications,Decision
Willerby Ltd,United Kingdom,willerby.com,$100M - $250M,500 - 999,"Hospitality, Travel, and Recreation",Consideration
Novacoast,United States,novacoast.com,$500M - $1B,250 - 499,Business Services,Decision
St John Of God Health Care,Australia,sjog.org.au,$50M - $100M,"10,000+",Healthcare & Medical,Consideration
Daydream Island,Australia,daydreamisland.com,$25M - $50M,100 - 249,"Hospitality, Travel, and Recreation",Target
Wood & Company,Czech Republic,wood.cz,$25M - $50M,250 - 499,Financial Services,Awareness
Winnipeg Regional Real Estate Board,Canada,winnipegregionalrealestateboard.ca,$5M - $10M,20 - 49,Associations & Non Profits,Target
CenterLine Limited,Canada,cntrline.com,$50M - $100M,500 - 999,"Industrial Manufacturing,Industrial Manufacturing",Consideration
KIOSKO,Mexico,kiosko.com.mx,$100M - $250M,"1,000 - 4,999","Consumer Goods and Services,Consumer Goods and Services",Target
The First National Bank In Sioux Falls,United States,fnbsf.com,$50M - $100M,100 - 249,Financial Services,Consideration
FirstComm,United States,firstcomm.com,$50M - $100M,100 - 249,Business Services,Consideration
"Fresh Start Capital, Inc",United States,freshstartcapitalpartners.com,,20 - 49,Financial Services,Target
Celebal Technologies,India,celebaltech.com,$500M - $1B,"1,000 - 4,999","Software,Information Technology",Decision
Frost Brown Todd,United States,frostbrowntodd.com,$50M - $100M,"1,000 - 4,999",Business Services,Decision
Fortuna Mining Corp.,Peru,fortunamining.com,$500M - $1B,"10,000+",Industrial Manufacturing,Target
LALA URBAN CO OPERATIVE BANK LIMITED,India,lalaurbanbank.in,$1 - $1M,10 - 19,Financial Services,Target
Tallgrass,United States,tallgrass.com,$500M - $1B,"1,000 - 4,999","Energy & Utilities,Transportation & Logistics",Awareness
Tarrant County,United States,tarrantcountytx.gov,$500M - $1B,"1,000 - 4,999",Government,Decision
Riksrevisjonen,Norway,riksrevisjonen.no,$50M - $100M,250 - 499,Government,Awareness
Atwill-Morin,Canada,atwill-morin.com,$250M - $500M,500 - 999,Construction & Engineering,Target
Sarel,Israel,sarel.co.il,$10M - $25M,100 - 249,Healthcare & Medical,Decision
Teakwood Builders,United States,teakwoodbuilders.com,$5M - $10M,20 - 49,Construction & Engineering,Awareness
Digitron,Brazil,digitron.com.br,$100M - $250M,"1,000 - 4,999",Hardware & Semiconductors,Awareness
Verifone,United States,verifone.com,$2.5B - $5B,"1,000 - 4,999",Financial Services,Awareness
Munson Healthcare,United States,munsonhealthcare.org,$1B - $2.5B,"5,000 - 9,999",Healthcare & Medical,Consideration
Research & Education At Mayo Clinic,United States,mayo.edu,$5B+,"10,000+",Education,Purchase
COEP M.Tech Construction Management,India,coeptech.ac.in,$50M - $100M,500 - 999,"Education,Education",Decision
ConnectedCare GmbH,Germany,connectedcare.net,$10M - $25M,100 - 249,Software,Consideration
Centre De La Petite Enfance Andre - Laurendeau,Canada,claurendeau.qc.ca,$50M - $100M,500 - 999,"Education,Associations & Non Profits",Consideration
The Anglo Foundation,Mexico,theanglofoundation.org.mx,$50M - $100M,500 - 999,Education,Awareness
Gimnasio de Los Cerros,Colombia,loscerros.edu.co,$25M - $50M,250 - 499,"Education,Education",Target
Slovak Environment Agency,Slovakia,sazp.sk,$25M - $50M,250 - 499,"Government,Associations & Non Profits",Consideration
A Touch Of Green Landscaping,United States,atouchofgreen.net,$5M - $10M,20 - 49,Business Services,Awareness
Kabelwerk EUPEN AG,Belgium,eupen.com,$250M - $500M,500 - 999,"Industrial Manufacturing,Consumer Goods and Services",Target
Apple,United States,apple.com,$5B+,"10,000+","Consumer Goods and Services,Hardware & Semiconductors,Information Technology,Wholesale & Distribution",Purchase
UiO,Norway,uio.no,$500M - $1B,"10,000+",Education,Consideration
Marc Enterprises Inc,Canada,computerperfect.ca,$1M - $5M,0 - 9,"Information Technology,Software",Target
IOS,Japan,ios.ne.jp,$1 - $1M,0 - 9,"Software,Information Technology",Target
Anchor Glass Container Corporation,United States,anchorglass.com,$5B+,"1,000 - 4,999","Industrial Manufacturing,Consumer Goods and Services",Consideration
Marsh,India,marsh.com,$5B+,"10,000+",Financial Services,Consideration
Intercom,United States,intercom.com,$100M - $250M,"1,000 - 4,999","Software,Information Technology",Consideration
Agios Pharmaceuticals,United States,agios.com,$25M - $50M,250 - 499,Biotech & Pharmaceuticals,Consideration
EDF Middle East,France,edf.com,$500M - $1B,500 - 999,Energy & Utilities,Decision
Capella University,United States,capella.edu,$250M - $500M,"1,000 - 4,999",Education,Purchase
ABP PATENT NETWORK GmbH,Austria,abp-patentnet.com,$1M - $5M,20 - 49,Business Services,Consideration
Traverse City Area Public Schools,United States,tcaps.net,$25M - $50M,"1,000 - 4,999",Education,Consideration
Bayer AG,India,bayer.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Consideration
TRT5,Brazil,trt5.jus.br,$100M - $250M,"1,000 - 4,999",Government,Decision
Scania Group,Brazil,scania.com,$5B+,"10,000+",Automotive,Consideration
PROGINSA,Spain,proginsa.com,$1M - $5M,20 - 49,"Real Estate, Rentals, and Leasing",Target
Utmost Building Materials,United Arab Emirates,utmostgrp.com,$50M - $100M,250 - 499,"Real Estate, Rentals, and Leasing",Awareness
Fugro,United Kingdom,fugro.com,$5B+,"10,000+","Construction & Engineering,Industrial Manufacturing,Energy & Utilities,Energy & Utilities",Awareness
Digi International,Singapore,digi.com,$500M - $1B,"1,000 - 4,999","Industrial Manufacturing,Telecommunications,Hardware & Semiconductors",Target
Segal McCambridge,United States,segalmccambridge.com,$10M - $25M,250 - 499,Business Services,Awareness
INDIAN OVERSEAS BANK,Thailand,iob.co.th,$5M - $10M,10 - 19,Financial Services,Target
"TRANSFRIO - Transportes Rosália, Lda",Portugal,transfrio.pt,$10M - $25M,100 - 249,Transportation & Logistics,Target
DeGolyer & MacNaughton,United States,demac.com,$50M - $100M,250 - 499,"Business Services,Energy & Utilities",Awareness
Generation IX,United States,generationix.com,$5M - $10M,20 - 49,"Software,Information Technology",Consideration
GEMEINDE GROSSBEEREN,Germany,grossbeeren.de,$1 - $1M,0 - 9,Education,Awareness
AM VILAKAZI TAU INCORPORATED ATTORNEYS,South Africa,vilakazitauattorneys.com,$1M - $5M,10 - 19,Business Services,Target
Igadi,United States,igadiltd.com,$1M - $5M,100 - 249,Consumer Goods and Services,Awareness
Telecommunication office of Slovak Republic,Slovakia,teleoff.gov.sk,$50M - $100M,100 - 249,Government,Target
Ferrero Asia Limited,Turkey,ferrero.com,$5B+,"1,000 - 4,999",Consumer Goods and Services,Target
Honle,Germany,hoenle.com,$10M - $25M,500 - 999,"Industrial Manufacturing,Industrial Manufacturing,Consumer Goods and Services,Consumer Goods and Services",Awareness
F5 Techno Solutions Pvt. Ltd.,India,f5techno.com,$5M - $10M,20 - 49,"Internet,Software",Awareness
BEYOND LIMITS PEDIATRIC THERAPY CENTER,United States,beyondlimitstherapy.org,$1 - $1M,20 - 49,"Healthcare & Medical,Biotech & Pharmaceuticals",Target
Massimo Zanetti Beverage Iberia,Portugal,mzbi.pt,$25M - $50M,250 - 499,Consumer Goods and Services,Target
Milliman,United Kingdom,milliman.com,$500M - $1B,"1,000 - 4,999",Business Services,Consideration
Celestica,Canada,celestica.com,$5B+,"10,000+","Industrial Manufacturing,Business Services,Hardware & Semiconductors",Purchase
MSC Mediterranean Shipping Company,Sweden,msc.com,$5B+,"10,000+","Transportation & Logistics,Transportation & Logistics",Target
